LSAT_SST,MEAN_1,Env_Clus,Area
16.46113735,2466602,1,0.178545166
16.43123056,2695673,1,0.145276379
16.49174745,2325635.231,1,0.149322136
14.49934094,1114863,4,0.109261969
14.49801386,1057486.867,4,0.203374925
14.51675919,1163354.85,4,0.244941655
14.29648199,1303082.657,4,0.222866769
14.22454436,1673960,3,0.206223371
16.40811906,2485341,1,0.27939367
16.27879189,2390792.292,1,0.298347117
16.67909671,2726358.333,1,0.235918709
16.19315325,2868795.106,1,0.292800434
16.58634483,2627204.238,1,0.277518076
16.20434626,3127111.233,1,0.271474008
16.48338768,2124565.857,1,0.357341479
16.49260359,3156074.143,1,0.31073023
16.58802583,3075034.286,2,0.098368918
16.5877874,3859294,2,0.069259847
16.35481166,4430523.6,2,0.099193105
16.19101416,4450050.563,2,0.10129069
15.99171817,4784492.964,2,0.164194887
15.84196581,4745366.783,2,0.167364247
15.94405587,4359829.149,2,0.288390529
15.63849805,4676305.792,2,0.311219308
15.75331716,4430741.766,2,0.312159075
15.43358954,4539132.585,2,0.25824144
15.55459117,4674897.667,2,0.230680621
15.71263291,4728288,2,0.06893598
14.51891736,1386791,4,0.180048148
14.31936366,1327596.727,4,0.277287514
14.4180367,481832.1296,4,0.339687392
14.64440101,1150331.87,4,0.297996986
14.47326058,561713.4783,4,0.289137589
14.66500115,1095412.318,4,0.307149974
14.06672944,2012151.58,3,0.306670939
14.34248082,893158.8367,4,0.309177013
14.00454281,2576567.589,3,0.370748234
14.03528723,1907769.708,3,0.314678513
13.99247636,2579584.361,3,0.210701576
13.99996027,2598887.415,3,0.332823647
13.99028852,2597673.796,3,0.314856715
13.96688406,2477247.787,3,0.307294598
13.9393264,2458006.615,3,0.250870148
16.28936012,3361207.311,1,0.277368503
16.64021885,2597312.545,1,0.283754794
16.15005215,2635557.469,1,0.318935467
16.9492686,2207695.175,1,0.245064624
16.04021899,3196978.292,1,0.301877528
16.90422554,2633648.778,1,0.294912213
16.04792934,3106653.72,2,0.318717998
16.74045477,2130180.4,1,0.473462277
16.86968457,3106878.925,1,0.33298315
16.36061878,4383672.885,2,0.334757943
16.88645751,3008122.741,2,0.353216019
16.04943704,4314674.023,2,0.273656884
16.46689521,4884704.327,2,0.32900508
15.7795011,4791919.538,2,0.333272309
16.23117003,4702912.585,2,0.337222301
15.53007435,4691998.319,2,0.295186818
16.15729778,3847229.545,2,0.278252257
15.33699179,4566717.75,2,0.324905556
15.95465636,4465187,2,0.322703499
15.41136546,4728288,2,0.202723221
15.59605179,4363845.224,2,0.374224131
15.85108539,3970038.889,2,0.239090686
15.57715949,3254276.538,2,0.090836151
14.26233062,1367196.063,4,0.290621881
14.49190586,1375809.382,4,0.228512482
14.1745005,614034.2549,4,0.322365364
14.30078122,505654.2553,4,0.305336657
14.66046799,1125773.755,4,0.308698957
14.16473858,1278063.041,4,0.319788014
14.67471631,1116789.083,4,0.294530393
14.33613373,3547283,3,0.180364155
14.11290313,2567191,3,0.345121977
14.03550387,2594000.231,3,0.240378719
14.47121177,953703.2667,4,0.280738473
14.44926537,987730.1765,4,0.320183978
14.17990776,3547283,3,0.070696724
14.22475568,3547283,3,0.113939313
14.17444186,2245810.939,3,0.309774402
14.11047283,2583361.396,3,0.312669957
14.28980598,3165279.323,3,0.186392393
14.32756665,3153275.03,3,0.210373999
14.04687648,2665364.019,3,0.343312281
14.05221085,2634586.623,3,0.400488345
14.1834118,2884364.971,3,0.229256383
13.95567456,2445170.476,3,0.290535223
13.87783647,2939786.508,3,0.405854298
16.32718882,3717028,1,0.276002623
16.59309351,3573546.302,1,0.304307474
16.1698485,3458486.681,1,0.293606033
