FID,MEAN,COUNT,AREA,MEAN
127,5.350987196,6,0.0000375,5.350987196
128,5.770399332,6,0.0000375,5.770399332
129,5.449178378,6,0.0000375,5.449178378
130,5.665744841,8,0.00005,5.665744841
131,5.838070393,6,0.0000375,5.838070393
132,5.874626994,4,0.000025,5.874626994
133,5.950669527,4,0.000025,5.950669527
134,6.023073037,3,0.00001875,6.023073037
135,3.586763859,4,0.000025,3.586763859
136,3.959877938,8,0.00005,3.959877938
137,4.329360406,6,0.0000375,4.329360406
138,4.234489129,13,0.00008125,4.234489129
139,3.174284458,9,0.00005625,3.174284458
140,3.456516504,5,0.00003125,3.456516504
141,4.375742602,10,0.0000625,4.375742602
142,5.620415211,8,0.00005,5.620415211
143,4.455173492,2,0.0000125,4.455173492
144,4.379428493,9,0.00005625,4.379428493
145,5.680945969,10,0.0000625,5.680945969
146,4.622379998,12,0.000075,4.622379998
147,4.274456024,8,0.00005,4.274456024
148,4.064118266,6,0.0000375,4.064118266
149,4.610911157,9,0.00005625,4.610911157
150,5.156544685,9,0.00005625,5.156544685
151,3.862030903,3,0.00001875,3.862030903
152,4.822584391,4,0.000025,4.822584391
153,4.350943459,9,0.00005625,4.350943459
154,6.078320907,13,0.00008125,6.078320907
155,4.598314714,15,0.00009375,4.598314714
156,4.073771596,12,0.000075,4.073771596
157,4.504452904,6,0.0000375,4.504452904
158,6.178808212,5,0.00003125,6.178808212
159,4.36756506,10,0.0000625,4.36756506
160,3.753845155,8,0.00005,3.753845155
161,5.568629742,3,0.00001875,5.568629742
162,5.654500198,10,0.0000625,5.654500198
163,5.018509674,5,0.00003125,5.018509674
164,5.390900612,9,0.00005625,5.390900612
165,6.127216209,11,0.00006875,6.127216209
166,5.343294076,7,0.00004375,5.343294076
167,3.934921404,12,0.000075,3.934921404
168,5.869523168,20,0.000125,5.869523168
169,3.801471608,14,0.0000875,3.801471608
170,3.882967619,13,0.00008125,3.882967619
171,3.905695041,6,0.0000375,3.905695041
172,3.841331175,7,0.00004375,3.841331175
173,4.280640423,16,0.0001,4.280640423
174,4.078688105,6,0.0000375,4.078688105
175,4.145545483,3,0.00001875,4.145545483
176,5.012534046,10,0.0000625,5.012534046
177,5.267434478,8,0.00005,5.267434478
178,5.414803664,15,0.00009375,5.414803664
179,5.838767022,16,0.0001,5.838767022
180,5.890712998,11,0.00006875,5.890712998
181,5.73632803,5,0.00003125,5.73632803
182,4.324316343,6,0.0000375,4.324316343
183,5.528497166,9,0.00005625,5.528497166
184,4.363842577,16,0.0001,4.363842577
185,3.681507349,6,0.0000375,3.681507349
186,4.15796477,15,0.00009375,4.15796477
187,5.620574686,9,0.00005625,5.620574686
188,4.641891565,14,0.0000875,4.641891565
189,5.324121714,2,0.0000125,5.324121714
190,5.840562275,7,0.00004375,5.840562275
191,6.496869019,7,0.00004375,6.496869019
192,6.557250091,7,0.00004375,6.557250091
193,6.626948198,6,0.0000375,6.626948198
194,6.679005146,8,0.00005,6.679005146
195,6.148806691,4,0.000025,6.148806691
196,6.663966338,3,0.00001875,6.663966338
197,6.609545803,5,0.00003125,6.609545803
198,6.556758404,7,0.00004375,6.556758404
199,5.864930391,2,0.0000125,5.864930391
200,5.784281731,4,0.000025,5.784281731
201,6.043785477,5,0.00003125,6.043785477
202,5.825107018,6,0.0000375,5.825107018
203,5.413391272,6,0.0000375,5.413391272
204,5.451030493,6,0.0000375,5.451030493
205,5.723691177,10,0.0000625,5.723691177
206,5.102936665,6,0.0000375,5.102936665
207,5.173757156,6,0.0000375,5.173757156
