FID,MEAN,COUNT,AREA
194,81716,26,336887.72
195,84574,8,103657.76
196,84719.18182,11,142529.42
197,81716,15,194358.3
198,83322.54167,24,310973.28
199,83300.73333,15,194358.3
200,81726.27273,11,142529.42
201,83872.81818,11,142529.42
202,84574,19,246187.18
203,82477.68421,19,246187.18
204,82162.35,20,259144.4
205,84668,29,375759.38
206,83593.17647,17,220272.74
207,81857.31818,22,285058.84
208,84769.91667,24,310973.28
209,80246.76471,17,220272.74
210,80258,6,77743.31999
211,80258,9,116614.98
212,80468.64286,14,181401.08
213,80672,18,233229.96
214,84604.875,24,310973.28
215,84592.63158,19,246187.18
216,83727.53846,26,336887.72
217,84106.95455,22,285058.84
218,84667.07143,14,181401.08
219,84752.38462,26,336887.72
220,80244,16,207315.52
221,80258,28,362802.16
222,80575.08696,23,298016.06
223,81906.8125,16,207315.52
224,82420.38095,21,272101.62
225,80625.46154,13,168443.86
226,84063.92857,14,181401.08
227,87993.95,20,259144.4
228,84501.8,5,64786.09999
229,80349,6,77743.31999
230,80367.25,8,103657.76
231,80385.11111,9,116614.98
232,82127.69231,13,168443.86
233,80418.66667,18,233229.96
234,80450.83333,6,77743.31999
235,80175.88235,17,220272.74
236,84602.90909,22,285058.84
237,84604.28571,21,272101.62
238,84574,11,142529.42
